reset
z:-2.98493515783, rot:0.358456526234
z:-2.95315591021, rot:0.360899482244
z:-2.93527219876, rot:0.396191300422
z:-2.95524717187, rot:0.402617847941
z:-2.94746434, rot:0.388964028163
z:-2.96532947475, rot:0.414580283448
z:-3.00062578616, rot:0.439739047847
z:-3.04598424457, rot:0.455268992838
z:-3.04291921348, rot:0.463238152722
z:-3.02570580768, rot:0.464637818453
z:-3.02025585266, rot:0.498903673236
z:-3.00336226991, rot:0.506960233265
z:-2.92695964928, rot:0.513612689392
z:-2.92206015441, rot:0.536541586031
z:-2.97286482813, rot:0.532899176213
z:-2.92779426942, rot:0.516322770737
z:-2.88813809335, rot:0.496805742332
z:-2.8664392595, rot:0.488981038154
z:-2.94147736472, rot:0.496697941516
z:-2.9647939428, rot:0.49416823676
z:-2.98768053237, rot:0.478538996207
z:-2.98794462563, rot:0.464399315468
z:-2.95848752631, rot:0.447074363422
z:-2.97411629426, rot:0.450541920672
z:-2.97556752385, rot:0.443417438437
z:-2.95513973999, rot:0.43223355388
z:-2.93155092858, rot:0.44127044688
z:-2.91090950693, rot:0.425365733192
z:-2.88652408948, rot:0.400968158877
z:-2.85321893211, rot:0.372971940197
z:-2.80409255426, rot:0.377904313076
z:-2.77584030114, rot:0.400972196253
z:-2.71430102676, rot:0.392766817645
z:-2.67045971572, rot:0.404825824829
z:-2.64269128202, rot:0.389727579257
z:-2.62266954258, rot:0.396279728095
z:-2.58884051598, rot:0.424216461496
z:-2.54894443808, rot:0.445523396363
z:-2.54938285697, rot:0.46409385954
z:-2.52112208695, rot:0.482303861791
z:-2.5078037344, rot:0.478898565746
z:-2.517588136, rot:0.484009026566
reset
z:-4.1118712435, rot:0.00552965784608
z:-4.95950186486, rot:0
reset
z:-3.63137697316, rot:0
reset
z:-4.31778805489, rot:-0.0240171387335
z:-4.32194873454, rot:-0.0442933210456
z:-3.72558467505, rot:-0.0460645427508
z:-3.36151845846, rot:-0.0544007090847
z:-3.39669146482, rot:-0.0418901420237
z:-3.47493079976, rot:-0.0141187830293
z:-3.5089714717, rot:-0.0411207943428
z:-3.94098752629, rot:-0.0413574714844
z:-4.28305339978, rot:-0.0334189231735
z:-4.25422296481, rot:-0.00182493782353
z:-3.87772443859, rot:0.0241594836153
z:-3.26999715974, rot:0.0229476714718
z:-2.69140351195, rot:0.0428793178015
z:-2.00194323144, rot:0.0592215229534
z:-1.67484058652, rot:0.0723684636356
z:-1.68903408439, rot:0.0931511680274
z:-1.75835590197, rot:0.12086126802
z:-1.65208507133, rot:0.151745627598
z:-1.5450472251, rot:0.172469162782
z:-1.5753152919, rot:0.192433761622
z:-1.56863126927, rot:0.187903606993
z:-1.53399743596, rot:0.227470630069
z:-1.69277580196, rot:0.263804115114
z:-1.64478033559, rot:0.268793702986
z:-1.46787109123, rot:0.303944117397
z:-1.45715869713, rot:0.296686682668
z:-1.47887187585, rot:0.30887337044
z:-1.31102704431, rot:0.328716190572
z:-1.23522767713, rot:0.346643453511
z:-1.2810999918, rot:0.34455126521
z:-1.56338797744, rot:0.405200461964
z:-1.623335094, rot:0.412888681386
z:-1.61174096551, rot:0.432177025563
z:-1.60987148164, rot:0.48283394063
z:-1.81619378387, rot:0.493737036782
z:-2.26648004708, rot:0.506470548162
z:-2.52203864169, rot:0.568313604482
z:-2.51147593914, rot:0.62382492038
z:-2.80938562057, rot:0.609377166656
z:-2.98640728977, rot:0.594941547813
z:-2.7553880974, rot:0.576348308506
z:-2.75308377402, rot:0.598241305003
z:-2.73309410728, rot:0.635670413835
z:-2.42646930495, rot:0.625515427421
z:-2.28957284869, rot:0.606912167086
z:-2.86247315253, rot:0.610348137057
z:-3.12542326937, rot:0.627983219265
z:-2.81208124337, rot:0.61827048152
z:-2.55818728258, rot:0.621144566139
z:-2.52373958225, rot:0.702046151683
z:-2.54264171757, rot:0.701763288126
z:-2.68134022013, rot:0.689922930036
z:-2.68788522338, rot:0.686957215654
z:-2.68157794578, rot:0.748307504486
z:-2.74790232205, rot:0.793058696757
z:-2.4935119586, rot:0.7901713078
z:-2.21978451987, rot:0.796025694349
z:-1.96449150075, rot:0.769690376408
z:-1.48363207497, rot:0.780482652052
z:-1.08407306902, rot:0.806190135165
z:-0.920995365938, rot:0.825014794097
z:-0.716204598979, rot:0.819040175654
z:-0.535146742088, rot:0.877454254074
z:-0.511301707696, rot:0.918770664413
z:-0.436010875432, rot:0.929934086044
z:-0.351456415223, rot:0.932011778157
z:-0.398068142966, rot:0.944479643816
z:-0.435505827297, rot:0.972041796658
z:-0.449578629094, rot:0.995538556598
z:-0.476173261446, rot:0.995270219707
z:-0.609575013285, rot:0.997838886275
z:-0.609097606423, rot:0.996507836156
z:-0.563111605881, rot:0.991000311551
